Feature,Biological anomaly,Category,Clinical group,Clinical subtype,Clinical syndrome,Disease,Etiological subtype,Histopathological subtype,Malformation syndrome,Morphological anomaly,Particular clinical situation in a disease or syndrome
gene_TP53,-0.0006827838330074048,-0.0026078916094001915,0.012229277768595424,-0.0019784645488524506,-0.0024738539281892874,0.005252144363760001,-0.00168155096202184,-0.0006898767278971265,-0.001548035280237157,-0.0018543481435884684,-0.003964617099161401
gene_LMNA,-0.005148955529133714,-0.0050714541289870515,-0.006222975159306489,-0.001748658762558992,-0.003908055914166273,0.0011231699625713063,0.03842293381981115,-0.004007788747485255,-0.005680947645413426,-0.005169953063071529,-0.002587314832259618
gene_KIT,-0.004679840798382705,-0.007433623903220086,-0.006186465393811961,0.05005329409513045,-0.004590118705090749,0.0032769803913330294,-0.006571220335132351,-0.0044745348037223695,-0.008108706639922292,-0.0071042015988436015,-0.004181562308337478
gene_COL2A1,-0.002812858987539331,-0.0022749391609328618,-0.0030972029417532646,0.014283701295233132,-0.0024984437373119068,0.015372011445357938,-0.005164865034908211,-0.0018013457217679154,-0.00573370270811833,-0.004719773005150493,-0.0015525814431091506
gene_FGFR1,-0.0010888088148477931,-0.0016165981642043172,-0.0022153912749506293,-0.0026845624957550817,-0.0012377715532457525,-0.0004531826203176021,-0.0025441211590699047,-0.0005378244779276543,0.004064661736249462,0.009277542602462593,-0.0009639437783931692
gene_PIK3CA,-0.0024461635369410623,-0.003396677681979179,-0.0029944293571921477,0.013115410594975788,-0.0021184451332601187,0.00017390718031483484,-0.0032727918908364833,-0.0021318104226012552,0.008335098781165975,-0.003486830649644113,-0.0017772678840021895
gene_HLA-DRB1,-0.0004519495363583241,-0.0010092139424487925,-0.0008856036920800114,0.00791706511964975,-0.0010803318133832025,-7.842077082018646e-05,-0.0007357757386377868,-0.0013542131419233064,-0.0006514120794557317,-0.0008372458689224209,-0.0008328985356200474
gene_PTEN,-0.0015285650413087543,-0.00142617203610538,-0.0018133989076498872,0.022126188534871485,-0.001572131283333517,-0.003435757395011051,-0.002953599155416967,-0.0012763606936493038,-0.004533875636837383,-0.0026152914326207735,-0.0009710369529382872
gene_PAX6,-0.0013103626627621984,-0.002250065647936534,-0.002099756379042041,-0.0020167631141565093,-0.0017247132130563097,0.0010305958146720239,-0.0020283581216901073,-0.0022265928538344987,-0.0019106353543670547,0.01591430900394202,-0.0013776574717689375
gene_BRAF,-0.0059659565048179874,-0.010538403422397896,-0.01092754019271957,-0.009868735171843591,-0.012418063827284732,-0.008669509089114439,-0.008882681844670795,0.09773791634186728,-0.00022083341701078629,-0.00979133569525775,-0.020454857176748997
