OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
1326,"Camptodactyly syndrome, Guadalajara type 2",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1327,"Camptodactyly syndrome, Guadalajara type 1",Cases/families,Case(s),,8.0,Worldwide
1327,"Camptodactyly syndrome, Guadalajara type 1",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1328,Camurati-Engelmann disease,Cases/families,Case(s),,300.0,Worldwide
1328,Camurati-Engelmann disease,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1321,Camptodactyly-fibrous tissue hyperplasia-skeletal anomalies syndrome,Cases/families,Case(s),,3.0,Worldwide
1321,Camptodactyly-fibrous tissue hyperplasia-skeletal anomalies syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1323,Camptodactyly-joint contractures-facial skeletal defects syndrome,Cases/families,Case(s),,4.0,Worldwide
1323,Camptodactyly-joint contractures-facial skeletal defects syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
156152,Anti-neutrophil cytoplasmic antibody-associated vasculitis,Point prevalence,Value and class,1-5 / 10 000,14.9,Germany
156152,Anti-neutrophil cytoplasmic antibody-associated vasculitis,Point prevalence,Class only,1-5 / 10 000,0.0,Europe
156152,Anti-neutrophil cytoplasmic antibody-associated vasculitis,Annual incidence,Value and class,1-9 / 100 000,3.3,United States
156152,Anti-neutrophil cytoplasmic antibody-associated vasculitis,Point prevalence,Value and class,1-5 / 10 000,42.1,United States
1314,Symmetrical thalamic calcifications,Cases/families,Case(s),,30.0,Worldwide
1314,Symmetrical thalamic calcifications,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1318,"Campomelia, Cumming type",Cases/families,Case(s),,8.0,Worldwide
1318,"Campomelia, Cumming type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1319,Camptobrachydactyly,Cases/families,Family(ies),,1.0,Worldwide
1319,Camptobrachydactyly,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1305,Feingold syndrome,Cases/families,Case(s),,123.0,Worldwide
1305,Feingold syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1307,Distal limb deficiencies-micrognathia syndrome,Cases/families,Case(s),,6.0,Worldwide
1307,Distal limb deficiencies-micrognathia syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1313,Infantile choroidocerebral calcification syndrome,Cases/families,Case(s),,10.0,Worldwide
1313,Infantile choroidocerebral calcification syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1350,Heart-hand syndrome type 2,Cases/families,Family(ies),,2.0,Worldwide
1350,Heart-hand syndrome type 2,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1355,Congenital heart defect-round face-developmental delay syndrome,Cases/families,Case(s),,3.0,Worldwide
1355,Congenital heart defect-round face-developmental delay syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1352,Atrioventricular defect-blepharophimosis-radial and anal defect syndrome,Cases/families,Case(s),,2.0,Worldwide
1352,Atrioventricular defect-blepharophimosis-radial and anal defect syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1342,Heart-hand syndrome type 3,Cases/families,Case(s),,4.0,Worldwide
1342,Heart-hand syndrome type 3,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1345,Cardiomyopathy-cataract-hip spine disease syndrome,Cases/families,Case(s),,9.0,Worldwide
1345,Cardiomyopathy-cataract-hip spine disease syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1338,Heart defect-tongue hamartoma-polysyndactyly syndrome,Cases/families,Case(s),,4.0,Worldwide
1338,Heart defect-tongue hamartoma-polysyndactyly syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1340,Cardiofaciocutaneous syndrome,Point prevalence,Value and class,1-9 / 1 000 000,0.12,Japan
1340,Cardiofaciocutaneous syndrome,Cases/families,Case(s),,300.0,Worldwide
1340,Cardiofaciocutaneous syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
2856,Persistent Müllerian duct syndrome,Cases/families,Case(s),,300.0,Worldwide
2856,Persistent Müllerian duct syndrome,Point prevalence,Class only,Unknown,0.0,Worldwide
1336,Hyperkeratosis-hyperpigmentation syndrome,Cases/families,Case(s),,10.0,Worldwide
1336,Hyperkeratosis-hyperpigmentation syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1335,Pentalogy of Cantrell,Prevalence at birth,Value and class,1-9 / 1 000 000,0.55,Europe
1335,Pentalogy of Cantrell,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
1335,Pentalogy of Cantrell,Prevalence at birth,Value and class,1-9 / 1 000 000,0.67,Worldwide
1682,Arterial dissection-lentiginosis syndrome,Cases/families,Case(s),,4.0,Worldwide
1682,Arterial dissection-lentiginosis syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1757,Fibular dimelia-diplopodia syndrome,Cases/families,Case(s),,11.0,Worldwide
1757,Fibular dimelia-diplopodia syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1756,Caudal duplication,Point prevalence,Class only,Unknown,0.0,Worldwide
1766,Dysequilibrium syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1766,Dysequilibrium syndrome,Cases/families,Case(s),,51.0,Worldwide
1777,Temtamy syndrome,Cases/families,Case(s),,56.0,Worldwide
1777,Temtamy syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1780,Thakker-Donnai syndrome,Cases/families,Case(s),,2.0,Worldwide
1780,Thakker-Donnai syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1772,"45,X/46,XY mixed gonadal dysgenesis",Point prevalence,Class only,Unknown,0.0,Worldwide
1784,Acrofrontofacionasal dysostosis,Cases/families,Case(s),,12.0,Worldwide
1784,Acrofrontofacionasal dysostosis,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1782,Dysosteosclerosis,Cases/families,Case(s),,23.0,Worldwide
1782,Dysosteosclerosis,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1790,Hypomandibular faciocranial dysostosis,Cases/families,Case(s),,3.0,Worldwide
1790,Hypomandibular faciocranial dysostosis,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1786,"Acrofacial dysostosis, Catania type",Cases/families,Family(ies),,2.0,Worldwide
1786,"Acrofacial dysostosis, Catania type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1788,"Acrofacial dysostosis, Rodríguez type",Cases/families,Case(s),,13.0,Worldwide
1788,"Acrofacial dysostosis, Rodríguez type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
859,Transcobalamin deficiency,Cases/families,Case(s),,40.0,Worldwide
859,Transcobalamin deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139441,Hypomyelination with atrophy of basal ganglia and cerebellum,Cases/families,Case(s),,216.0,Worldwide
139441,Hypomyelination with atrophy of basal ganglia and cerebellum,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
3196,Steroid dehydrogenase deficiency-dental anomalies syndrome,Cases/families,Family(ies),,1.0,Worldwide
3196,Steroid dehydrogenase deficiency-dental anomalies syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139444,Leukoencephalopathy with bilateral anterior temporal lobe cysts,Cases/families,Case(s),,29.0,Worldwide
139444,Leukoencephalopathy with bilateral anterior temporal lobe cysts,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139447,Progressive cavitating leukoencephalopathy,Cases/families,Case(s),,19.0,Worldwide
139447,Progressive cavitating leukoencephalopathy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1573,Hypotrichosis with juvenile macular degeneration,Cases/families,Case(s),,50.0,Worldwide
1573,Hypotrichosis with juvenile macular degeneration,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
726,Alpers-Huttenlocher syndrome,Prevalence at birth,Value and class,1-9 / 1 000 000,0.7,Europe
726,Alpers-Huttenlocher syndrome,Point prevalence,Value and class,<1 / 1 000 000,0.07,Europe
139450,Microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome,Cases/families,Family(ies),,1.0,Worldwide
139450,Microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139455,Autosomal recessive bestrophinopathy,Cases/families,Case(s),,20.0,Worldwide
139455,Autosomal recessive bestrophinopathy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1574,Retinal degeneration-nanophthalmos-glaucoma syndrome,Cases/families,Case(s),,7.0,Worldwide
1574,Retinal degeneration-nanophthalmos-glaucoma syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139466,SERKAL syndrome,Cases/families,Case(s),,3.0,Worldwide
139466,SERKAL syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1596,Distal deletion 15q syndrome,Cases/families,Case(s),,30.0,Worldwide
1596,Distal deletion 15q syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139471,Microphthalmia with brain and digit anomalies,Cases/families,Family(ies),,2.0,Worldwide
139471,Microphthalmia with brain and digit anomalies,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139474,17q11.2 microduplication syndrome,Cases/families,Case(s),,7.0,Worldwide
139474,17q11.2 microduplication syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1617,Developmental delay-language impairment-dopa responsive dystonia-parkinsonism syndrome due to 2q24 microdeletion,Cases/families,Case(s),,23.0,Worldwide
1617,Developmental delay-language impairment-dopa responsive dystonia-parkinsonism syndrome due to 2q24 microdeletion,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1606,1p36 deletion syndrome,Prevalence at birth,Value and class,1-5 / 10 000,15.0,United States
1606,1p36 deletion syndrome,Point prevalence,Value and class,1-5 / 10 000,15.0,United States
139480,Autosomal recessive spastic paraplegia type 39,Cases/families,Family(ies),,2.0,Worldwide
139480,Autosomal recessive spastic paraplegia type 39,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1647,Oculocerebrocutaneous syndrome,Cases/families,Case(s),,38.0,Worldwide
1647,Oculocerebrocutaneous syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139485,Autosomal recessive ataxia due to ubiquinone deficiency,Cases/families,Case(s),,31.0,Worldwide
139485,Autosomal recessive ataxia due to ubiquinone deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1653,Dentin dysplasia,Point prevalence,Class only,Unknown,0.0,Worldwide
139515,Charcot-Marie-Tooth disease type 4J,Cases/families,Case(s),,18.0,Worldwide
139515,Charcot-Marie-Tooth disease type 4J,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139512,Neuropathy with hearing impairment,Cases/families,Family(ies),,1.0,Worldwide
139512,Neuropathy with hearing impairment,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1657,"Dermatoosteolysis, Kirghizian type",Cases/families,Case(s),,5.0,Worldwide
1657,"Dermatoosteolysis, Kirghizian type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139525,Distal hereditary motor neuropathy type 2,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139525,Distal hereditary motor neuropathy type 2,Cases/families,Family(ies),,4.0,Worldwide
1658,Absence of fingerprints-congenital milia syndrome,Cases/families,Family(ies),,10.0,Worldwide
1658,Absence of fingerprints-congenital milia syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1659,Dermatoleukodystrophy,Cases/families,Case(s),,2.0,Worldwide
1659,Dermatoleukodystrophy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139547,Distal spinal muscular atrophy type 3,Cases/families,Case(s),,28.0,Worldwide
139547,Distal spinal muscular atrophy type 3,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1660,Dermoodontodysplasia,Cases/families,Case(s),,11.0,Worldwide
1660,Dermoodontodysplasia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139557,X-linked distal spinal muscular atrophy type 3,Cases/families,Family(ies),,2.0,Worldwide
139557,X-linked distal spinal muscular atrophy type 3,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1661,X-linked corneal dermoid,Cases/families,Case(s),,6.0,Worldwide
1661,X-linked corneal dermoid,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1662,Restrictive dermopathy,Cases/families,Case(s),,30.0,Worldwide
1662,Restrictive dermopathy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139552,"Distal hereditary motor neuropathy, Jerash type",Cases/families,Case(s),,30.0,Worldwide
139552,"Distal hereditary motor neuropathy, Jerash type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139573,Hereditary sensory and autonomic neuropathy with deafness and global delay,Cases/families,Case(s),,4.0,Worldwide
139573,Hereditary sensory and autonomic neuropathy with deafness and global delay,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1665,Sporadic fetal brain disruption sequence,Cases/families,Case(s),,20.0,Worldwide
1665,Sporadic fetal brain disruption sequence,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139564,Hereditary sensory and autonomic neuropathy type 1B,Cases/families,Family(ies),,2.0,Worldwide
139564,Hereditary sensory and autonomic neuropathy type 1B,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139583,X-linked hereditary sensory and autonomic neuropathy with deafness,Cases/families,Family(ies),,5.0,Worldwide
139583,X-linked hereditary sensory and autonomic neuropathy with deafness,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1667,Wolcott-Rallison syndrome,Cases/families,Case(s),,60.0,Worldwide
1667,Wolcott-Rallison syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
139578,Mutilating hereditary sensory neuropathy with spastic paraplegia,Cases/families,Case(s),,14.0,Worldwide
139578,Mutilating hereditary sensory neuropathy with spastic paraplegia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1671,Split cord malformation type I,Point prevalence,Class only,Unknown,0.0,Worldwide
140917,Stapes ankylosis with broad thumbs and toes,Cases/families,Family(ies),,6.0,Worldwide
140917,Stapes ankylosis with broad thumbs and toes,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1548,Cryptorchidism-arachnodactyly-intellectual disability syndrome,Cases/families,Case(s),,3.0,Worldwide
1548,Cryptorchidism-arachnodactyly-intellectual disability syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1547,Cryptomicrotia-brachydactyly-excess fingertip arch syndrome,Cases/families,Case(s),,2.0,Worldwide
1547,Cryptomicrotia-brachydactyly-excess fingertip arch syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140922,Titin-related limb-girdle muscular dystrophy R10,Cases/families,Family(ies),,1.0,Worldwide
140922,Titin-related limb-girdle muscular dystrophy R10,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1545,Crisponi syndrome,Cases/families,Case(s),,30.0,Worldwide
1545,Crisponi syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1540,Jackson-Weiss syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1540,Jackson-Weiss syndrome,Cases/families,Case(s),,200.0,Worldwide
140874,Joubert syndrome and related disorders,Prevalence at birth,Value and class,1-9 / 100 000,1.1,Worldwide
140874,Joubert syndrome and related disorders,Prevalence at birth,Value and class,1-9 / 100 000,1.0,United States
140874,Joubert syndrome and related disorders,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Netherlands
140874,Joubert syndrome and related disorders,Point prevalence,Value and class,>1 / 1000,666.67,North America
140874,Joubert syndrome and related disorders,Point prevalence,Class only,Unknown,0.0,Worldwide
140896,Severe acute respiratory syndrome,Point prevalence,Class only,Unknown,0.0,Worldwide
140896,Severe acute respiratory syndrome,Annual incidence,Class only,<1 / 1 000 000,0.0,Europe
1532,Gómez-López-Hernández syndrome,Cases/families,Case(s),,36.0,Worldwide
1532,Gómez-López-Hernández syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140952,Syndactyly-telecanthus-anogenital and renal malformations syndrome,Cases/families,Case(s),,7.0,Worldwide
140952,Syndactyly-telecanthus-anogenital and renal malformations syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140957,Autosomal dominant macrothrombocytopenia,Cases/families,Case(s),,100.0,Worldwide
140957,Autosomal dominant macrothrombocytopenia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140944,CLOVES syndrome,Cases/families,Case(s),,150.0,Worldwide
140944,CLOVES syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140949,Low-flow priapism,Point prevalence,Class only,1-9 / 100 000,0.0,Europe
1555,Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome,Cases/families,Case(s),,12.0,Worldwide
1555,Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140936,Lelis syndrome,Cases/families,Case(s),,9.0,Worldwide
140936,Lelis syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140941,Short stature due to primary acid-labile subunit deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
1553,Curry-Jones syndrome,Cases/families,Case(s),,9.0,Worldwide
1553,Curry-Jones syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140927,Self-limited neonatal-infantile epilepsy,Cases/families,Family(ies),,10.0,Worldwide
140927,Self-limited neonatal-infantile epilepsy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140933,Linear atrophoderma of Moulin,Cases/families,Case(s),,30.0,Worldwide
140933,Linear atrophoderma of Moulin,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140989,Primary angiitis of the central nervous system,Annual incidence,Value and class,1-9 / 1 000 000,0.24,United States
140989,Primary angiitis of the central nervous system,Point prevalence,Class only,Unknown,0.0,Worldwide
1566,Dandy-Walker malformation-postaxial polydactyly syndrome,Cases/families,Case(s),,5.0,Worldwide
1566,Dandy-Walker malformation-postaxial polydactyly syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140976,RHYNS syndrome,Cases/families,Case(s),,4.0,Worldwide
140976,RHYNS syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1563,Dahlberg-Borer-Newcomer syndrome,Cases/families,Case(s),,2.0,Worldwide
1563,Dahlberg-Borer-Newcomer syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140969,Saldino-Mainzer syndrome,Cases/families,Case(s),,13.0,Worldwide
140969,Saldino-Mainzer syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140966,"Palmoplantar keratoderma, Nagashima type",Cases/families,Case(s),,40.0,Worldwide
140966,"Palmoplantar keratoderma, Nagashima type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140963,Bilateral microtia-deafness-cleft palate syndrome,Cases/families,Family(ies),,3.0,Worldwide
140963,Bilateral microtia-deafness-cleft palate syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
382,Guanidinoacetate methyltransferase deficiency,Cases/families,Case(s),,80.0,Worldwide
382,Guanidinoacetate methyltransferase deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
742,Prolidase deficiency,Cases/families,Case(s),,90.0,Worldwide
742,Prolidase deficiency,Point prevalence,Class only,Unknown,0.0,Worldwide
742,Prolidase deficiency,Prevalence at birth,Value and class,<1 / 1 000 000,0.08,Canada
1979,Lipodystrophy due to peptidic growth factors deficiency,Cases/families,Family(ies),,1.0,Worldwide
1979,Lipodystrophy due to peptidic growth factors deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1571,Knobloch syndrome,Cases/families,Case(s),,119.0,Worldwide
1571,Knobloch syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
141007,Orofaciodigital syndrome type 9,Cases/families,Case(s),,10.0,Worldwide
141007,Orofaciodigital syndrome type 9,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1551,Familial benign copper deficiency,Cases/families,Family(ies),,1.0,Worldwide
1551,Familial benign copper deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1568,X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome,Cases/families,Case(s),,10.0,Worldwide
1568,X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
141000,Orofaciodigital syndrome type 11,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
1497,X-linked complicated corpus callosum dysgenesis,Cases/families,Case(s),,11.0,Worldwide
1497,X-linked complicated corpus callosum dysgenesis,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1493,Vici syndrome,Cases/families,Case(s),,50.0,Worldwide
1493,Vici syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140286,Secondary hypoparathyroidism due to impaired parathormon secretion,Point prevalence,Value and class,1-5 / 10 000,24.75,Europe
140286,Secondary hypoparathyroidism due to impaired parathormon secretion,Annual incidence,Class only,Unknown,0.0,Europe
140286,Secondary hypoparathyroidism due to impaired parathormon secretion,Annual incidence,Value and class,1-9 / 1 000 000,0.8,Denmark
140286,Secondary hypoparathyroidism due to impaired parathormon secretion,Annual incidence,Value and class,1-9 / 100 000,1.7,Spain
1495,Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome,Cases/families,Case(s),,3.0,Worldwide
1495,Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1509,Coxopodopatellar syndrome,Cases/families,Case(s),,47.0,Worldwide
1509,Coxopodopatellar syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1512,Crane-Heise syndrome,Cases/families,Case(s),,9.0,Worldwide
1512,Crane-Heise syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1506,Thin ribs-tubular bones-dysmorphism syndrome,Cases/families,Case(s),,2.0,Worldwide
1506,Thin ribs-tubular bones-dysmorphism syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1508,Coxoauricular syndrome,Cases/families,Case(s),,4.0,Worldwide
1508,Coxoauricular syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1507,Autosomal recessive Robinow syndrome,Cases/families,Case(s),,100.0,Worldwide
1507,Autosomal recessive Robinow syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1517,Cantú syndrome,Cases/families,Case(s),,50.0,Worldwide
1517,Cantú syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1519,SPECC1L-related hypertelorism syndrome,Cases/families,Case(s),,25.0,Worldwide
1519,SPECC1L-related hypertelorism syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1520,Craniofrontonasal dysplasia,Point prevalence,Class only,Unknown,0.0,Worldwide
1513,Craniodiaphyseal dysplasia,Cases/families,Case(s),,20.0,Worldwide
1513,Craniodiaphyseal dysplasia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1514,Craniodigital-intellectual disability syndrome,Cases/families,Case(s),,5.0,Worldwide
1514,Craniodigital-intellectual disability syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
140481,Autosomal dominant slowed nerve conduction velocity,Cases/families,Family(ies),,1.0,Worldwide
140481,Autosomal dominant slowed nerve conduction velocity,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1515,Cranioectodermal dysplasia,Cases/families,Case(s),,60.0,Worldwide
1515,Cranioectodermal dysplasia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1516,Non-syndromic bilambdoid and sagittal craniosynostosis,Cases/families,Case(s),,14.0,Worldwide
1516,Non-syndromic bilambdoid and sagittal craniosynostosis,Prevalence at birth,Class only,<1 / 1 000 000,0.0,Worldwide
1516,Non-syndromic bilambdoid and sagittal craniosynostosis,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1516,Non-syndromic bilambdoid and sagittal craniosynostosis,Prevalence at birth,Value and class,<1 / 1 000 000,0.05,Spain
1527,"Craniosynostosis, Philadelphia type",Cases/families,Family(ies),,1.0,Worldwide
1527,"Craniosynostosis, Philadelphia type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1528,Craniotelencephalic dysplasia,Cases/families,Case(s),,4.0,Worldwide
1528,Craniotelencephalic dysplasia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1529,Craniofacial-deafness-hand syndrome,Cases/families,Case(s),,3.0,Worldwide
1529,Craniofacial-deafness-hand syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1521,Craniofrontonasal dysplasia-Poland anomaly syndrome,Cases/families,Case(s),,2.0,Worldwide
1521,Craniofrontonasal dysplasia-Poland anomaly syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1522,Craniometaphyseal dysplasia,Cases/families,Case(s),,160.0,Worldwide
1522,Craniometaphyseal dysplasia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1525,Cranio-osteoarthropathy,Cases/families,Case(s),,30.0,Worldwide
1525,Cranio-osteoarthropathy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1969,Facial dysmorphism-anorexia-cachexia-eye and skin anomalies syndrome,Cases/families,Case(s),,3.0,Worldwide
1969,Facial dysmorphism-anorexia-cachexia-eye and skin anomalies syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1968,Flat face-microstomia-ear anomaly syndrome,Cases/families,Case(s),,2.0,Worldwide
1968,Flat face-microstomia-ear anomaly syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1970,Facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome,Cases/families,Case(s),,3.0,Worldwide
1970,Facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1973,Faciocardiorenal syndrome,Cases/families,Case(s),,4.0,Worldwide
1973,Faciocardiorenal syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1972,Lethal faciocardiomelic dysplasia,Cases/families,Case(s),,3.0,Worldwide
1972,Lethal faciocardiomelic dysplasia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1974,Autosomal recessive faciodigitogenital syndrome,Cases/families,Case(s),,26.0,Worldwide
1974,Autosomal recessive faciodigitogenital syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1962,Exostoses-anetodermia-brachydactyly type E syndrome,Cases/families,Family(ies),,1.0,Worldwide
1962,Exostoses-anetodermia-brachydactyly type E syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1964,Extrasystoles-short stature-hyperpigmentation-microcephaly syndrome,Cases/families,Case(s),,2.0,Worldwide
1964,Extrasystoles-short stature-hyperpigmentation-microcephaly syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
1822,Dysplasia epiphysealis hemimelica,Annual incidence,Value and class,1-9 / 1 000 000,0.1,Worldwide
1822,Dysplasia epiphysealis hemimelica,Point prevalence,Class only,Unknown,0.0,Worldwide
