OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
477673,Postnatal microcephaly-infantile hypotonia-spastic diplegia-dysarthria-intellectual disability syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
477749,Pontine autosomal dominant microangiopathy with leukoencephalopathy,Cases/families,Case(s),,11.0,Worldwide
477749,Pontine autosomal dominant microangiopathy with leukoencephalopathy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
477742,Nodular fasciitis,Point prevalence,Class only,Unknown,0.0,Worldwide
477774,Combined oxidative phosphorylation defect type 27,Cases/families,Case(s),,3.0,Worldwide
477774,Combined oxidative phosphorylation defect type 27,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
476119,Autosomal dominant preaxial polydactyly-upperback hypertrichosis syndrome,Cases/families,Family(ies),,1.0,Worldwide
476119,Autosomal dominant preaxial polydactyly-upperback hypertrichosis syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
476113,Combined immunodeficiency due to TFRC deficiency,Cases/families,Family(ies),,2.0,Worldwide
476113,Combined immunodeficiency due to TFRC deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
476126,Micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome,Cases/families,Case(s),,4.0,Worldwide
476126,Micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
476406,Congenital generalized hypercontractile muscle stiffness syndrome,Cases/families,Case(s),,2.0,Worldwide
476406,Congenital generalized hypercontractile muscle stiffness syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
476394,PMP2-related Charcot-Marie-Tooth disease type 1,Cases/families,Case(s),,13.0,Worldwide
476394,PMP2-related Charcot-Marie-Tooth disease type 1,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
493342,Vibratory urticaria,Cases/families,Case(s),,37.0,Worldwide
493342,Vibratory urticaria,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488642,TELO2-related intellectual disability-neurodevelopmental disorder,Cases/families,Case(s),,6.0,Worldwide
488642,TELO2-related intellectual disability-neurodevelopmental disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488647,DDX41-related hematologic malignancy predisposition syndrome,Cases/families,Family(ies),,3.0,Worldwide
488647,DDX41-related hematologic malignancy predisposition syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488650,"Distal myopathy, Tateyama type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488650,"Distal myopathy, Tateyama type",Cases/families,Case(s),,7.0,Worldwide
488618,Transketolase deficiency,Cases/families,Case(s),,5.0,Worldwide
488618,Transketolase deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488627,Severe growth deficiency-strabismus-extensive dermal melanocytosis-intellectual disability syndrome,Cases/families,Case(s),,3.0,Worldwide
488627,Severe growth deficiency-strabismus-extensive dermal melanocytosis-intellectual disability syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488632,TBCK-related encephalopathy-severe hypotonia-craniofacial dysmorphism syndrome,Cases/families,Case(s),,25.0,Worldwide
488632,TBCK-related encephalopathy-severe hypotonia-craniofacial dysmorphism syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488635,Early-onset epilepsy-intellectual disability-brain anomalies syndrome,Cases/families,Case(s),,5.0,Worldwide
488635,Early-onset epilepsy-intellectual disability-brain anomalies syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488239,Acute macular neuroretinopathy,Cases/families,Case(s),,101.0,Worldwide
488239,Acute macular neuroretinopathy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488232,Split-foot malformation-mesoaxial polydactyly syndrome,Cases/families,Case(s),,5.0,Worldwide
488232,Split-foot malformation-mesoaxial polydactyly syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488333,Autosomal dominant Charcot-Marie-Tooth disease type 2W,Cases/families,Case(s),,24.0,Worldwide
488333,Autosomal dominant Charcot-Marie-Tooth disease type 2W,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488280,14q32 duplication syndrome,Cases/families,Case(s),,33.0,Worldwide
488280,14q32 duplication syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488437,SIX2-related frontonasal dysplasia,Cases/families,Family(ies),,1.0,Worldwide
488437,SIX2-related frontonasal dysplasia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488434,"Camptodactyly syndrome, Guadalajara type 3",Cases/families,Case(s),,5.0,Worldwide
488434,"Camptodactyly syndrome, Guadalajara type 3",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488613,Global developmental delay-neuro-ophthalmological abnormalities-seizures-intellectual disability syndrome,Cases/families,Case(s),,26.0,Worldwide
488613,Global developmental delay-neuro-ophthalmological abnormalities-seizures-intellectual disability syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488594,Autosomal recessive spastic paraplegia type 76,Cases/families,Family(ies),,7.0,Worldwide
488594,Autosomal recessive spastic paraplegia type 76,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488197,Familial progressive retinal dystrophy-iris coloboma-congenital cataract syndrome,Cases/families,Case(s),,9.0,Worldwide
488197,Familial progressive retinal dystrophy-iris coloboma-congenital cataract syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488168,Microcephaly-congenital cataract-psoriasiform dermatitis syndrome,Cases/families,Case(s),,5.0,Worldwide
488168,Microcephaly-congenital cataract-psoriasiform dermatitis syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
488191,Female infertility due to oocyte meiotic arrest,Cases/families,Case(s),,16.0,Worldwide
